latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
42.294,-83.164,301.6,2.7,1.6,2018-09-14,0250,T,43,6.0NRT,290.8,20.5,N
45.843,-73.248,300.4,1,1,2018-09-14,0250,T,27,6.0NRT,288.9,5.3,N
48.551,-80.518,307,1.3,1.1,2018-09-14,0250,T,70,6.0NRT,288.8,13.7,N
48.547,-80.536,300.1,1.3,1.2,2018-09-14,0250,T,16,6.0NRT,287.4,7.5,N
40.176,-106.525,302,2.6,1.5,2018-09-14,0430,T,46,6.0NRT,285.5,30.8,N
40.17,-106.552,305.4,2.6,1.6,2018-09-14,0430,T,64,6.0NRT,282.4,38.5,N
40.182,-106.532,309.6,2.6,1.5,2018-09-14,0430,T,78,6.0NRT,285.3,49.5,N
40.242,-106.586,304.2,2.6,1.6,2018-09-14,0430,T,26,6.0NRT,283.1,31.7,N
40.235,-106.614,306.8,2.6,1.6,2018-09-14,0430,T,68,6.0NRT,283.1,39.1,N
40.249,-106.62,319.1,2.6,1.6,2018-09-14,0430,T,86,6.0NRT,287.7,75.3,N
40.268,-106.598,315.9,2.6,1.6,2018-09-14,0430,T,46,6.0NRT,286.5,63,N
40.262,-106.626,316.6,2.6,1.6,2018-09-14,0430,T,54,6.0NRT,284.7,64.8,N
40.26,-106.601,323.3,2.6,1.6,2018-09-14,0430,T,43,6.0NRT,288.5,88.2,N
40.254,-106.629,319,2.6,1.6,2018-09-14,0430,T,29,6.0NRT,286,70.4,N
40.676,-108.527,319.5,3.3,1.7,2018-09-14,0430,T,80,6.0NRT,287.6,101.3,N
40.673,-108.53,319.2,3.3,1.7,2018-09-14,0430,T,98,6.0NRT,287.9,102.7,N
40.702,-108.543,319.4,3.3,1.7,2018-09-14,0430,T,97,6.0NRT,287.4,103.1,N
56.509,-117.262,302,2.5,1.5,2018-09-14,0435,T,46,6.0NRT,269.4,39.9,N
56.521,-117.273,317.9,2.5,1.5,2018-09-14,0435,T,96,6.0NRT,270.2,81.4,N
40.673,-108.535,307.5,4.3,1.9,2018-09-14,0605,T,63,6.0NRT,286.4,80.1,N
40.674,-108.54,306.8,4.3,1.9,2018-09-14,0605,T,69,6.0NRT,286.2,77.6,N
40.966,-122.522,305.3,1,1,2018-09-14,0605,T,64,6.0NRT,279.1,9.7,N
41.054,-122.363,303.5,1,1,2018-09-14,0605,T,8,6.0NRT,285.2,6.6,N
41.052,-122.375,311.6,1,1,2018-09-14,0605,T,49,6.0NRT,286,11.5,N
41.057,-122.401,301.7,1,1,2018-09-14,0605,T,6,6.0NRT,286.3,5.9,N
41.071,-122.495,323,1,1,2018-09-14,0605,T,100,6.0NRT,280.7,24.1,N
